hike_region,total_distance,elevation_gain,num_reviews,stars,hike_url,hike_id,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views,hiking,nature_trips,walking,bird_watching,trail_running,forest,no_dogs,mountain_bike,backpacking,horseback_riding,beach,fishing,partially_paved,road_biking,off_road_driving,wheelchair_friendly,stroller_friendly,paved,historic_site,rock_climbing,snowshoeing,city_walk,cave,paddle_sports,scenic_driving,surfing,cross_country_skiing,hot_springs,rails_trails,skiing,rocky,snow,muddy,bugs,overgrown,scramble,blowdown,off_trail,no_shade,private_property,closed,washed_out,old_growth,elevation_per_mile,power_rating,hike_difficulty_EASY,hike_difficulty_HARD,hike_difficulty_MODERATE,route_type_Loop,route_type_Out & Back,route_type_Point to Poin,foot_traffic_Heavy,foot_traffic_Light,foot_traffic_Moderate,foot_traffic_Unknown Foot Traffic
North Cascades National Park,1.9,72,24,4.0,https://www.alltrails.com/trail/us/washington/trail-of-the-cedars-nature-walk,hike600,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.89473684210527,36.47,1,0,0,1,0,0,0,1,0,0
Mount Rainier National Park,2.9,646,21,4.1,https://www.alltrails.com/trail/us/washington/madcap-falls-trail,hike601,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.75862068965517,38.44,1,0,0,0,1,0,0,0,0,1
Mount Baker National Forest,11.2,4589,28,4.1,https://www.alltrails.com/trail/us/washington/mount-forgotten-meadows-trail,hike602,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.7321428571429,38.26,0,1,0,0,1,0,0,0,1,0
Goat Rocks Wilderness,15.2,3753,13,4.9,https://www.alltrails.com/trail/us/washington/old-snowy-mountain-via-snowgrass-trail,hike603,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,246.9078947368421,47.61,0,1,0,0,1,0,0,0,1,0
Okanogan-Wenatchee National Forest,9.5,4704,43,4.2,https://www.alltrails.com/trail/us/washington/fourth-of-july-creek-trail-to-icicle-ridge,hike604,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,495.1578947368421,40.91,0,1,0,0,1,0,0,0,1,0
John C. Shields Park,2.8,682,70,3.9,https://www.alltrails.com/trail/us/washington/beacon-hill-loop-from-shields-park-trailhead,hike605,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.57142857142858,29.27,0,0,1,1,0,0,0,0,1,0
Titlow Beach Park,1.6,72,82,3.6,https://www.alltrails.com/trail/us/washington/titlow-park,hike606,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,14.75,1,0,0,1,0,0,1,0,0,0
Okanogan-Wenatchee National Forest,3.4,636,17,4.4,https://www.alltrails.com/trail/us/washington/lake-ann-trail,hike607,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.05882352941177,42.8,1,0,0,0,1,0,0,0,1,0
,3.6,616,62,3.9,https://www.alltrails.com/trail/us/washington/saltese-uplands,hike608,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,171.11111111111111,29.99,0,0,1,1,0,0,0,0,1,0
Olympic National Park,13.0,3392,25,4.3,https://www.alltrails.com/trail/us/washington/mount-muller,hike609,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,260.9230769230769,42.25,0,1,0,1,0,0,0,1,0,0
Tiger Mountain State Forest,1.5,59,40,4.0,https://www.alltrails.com/trail/us/washington/tiger-mountain-around-the-lake-trail,hike610,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.333333333333336,35.18,1,0,0,1,0,0,1,0,0,0
Goat Rocks Wilderness,7.1,1469,31,4.5,https://www.alltrails.com/trail/us/washington/bear-creek-mountain,hike611,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,206.90140845070422,47.49,0,0,1,0,1,0,0,0,1,0
,3.4,337,56,4.0,https://www.alltrails.com/trail/us/washington/miller-peninsula-and-thompson-spit-trail,hike612,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.11764705882354,34.14,1,0,0,0,1,0,0,0,0,1
Mount Rainier National Park,7.5,1610,30,4.6,https://www.alltrails.com/trail/us/washington/owyhigh-lakes-trail,hike613,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.66666666666666,49.55,0,0,1,0,1,0,0,1,0,0
Mount Saint Helens National Volcanic Monument,7.3,1729,28,4.2,https://www.alltrails.com/trail/us/washington/butte-camp-trail,hike614,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.84931506849315,40.41,0,0,1,0,1,0,0,0,1,0
Green Mountain State Forest,6.1,1040,38,4.2,https://www.alltrails.com/trail/us/washington/green-mountain-via-davis-and-gold-creek-trails,hike615,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170.49180327868854,40.76,0,0,1,0,1,0,0,0,1,0
Mount Rainier Wilderness,5.9,1299,20,4.6,https://www.alltrails.com/trail/us/washington/sheep-lake-and-sourdough-gap-trail,hike616,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.16949152542372,46.6,1,0,0,0,1,0,0,1,0,0
Tiger Mountain State Forest,3.0,2001,48,4.4,https://www.alltrails.com/trail/us/washington/cable-line-trail-to-west-tiger-3,hike617,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,667.0,47.48,0,0,1,0,1,0,0,1,0,0
St Edward  State Park,2.3,380,50,4.5,https://www.alltrails.com/trail/us/washington/north-trail-to-south-canyon-trail-to-orchard-loop,hike618,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.21739130434784,51.03,1,0,0,1,0,0,0,0,1,0
Mount Saint Helens National Volcanic Monument,0.6,246,13,4.5,https://www.alltrails.com/trail/us/washington/windy-ridge-trail,hike619,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,410.0,43.14,0,0,1,0,1,0,0,0,1,0
Mount Rainier National Park,2.5,629,13,4.9,https://www.alltrails.com/trail/us/washington/moraine-trail,hike620,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,251.6,47.61,0,0,1,0,1,0,0,1,0,0
Okanogan-Wenatchee National Forest,11.6,2837,22,4.4,https://www.alltrails.com/trail/us/washington/esmeralda-basin-trail,hike621,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,244.5689655172414,43.7,0,1,0,1,0,0,0,1,0,0
Ross Lake National Recreation Area,0.4,19,37,3.8,https://www.alltrails.com/trail/us/washington/ladder-creek-falls-trail,hike622,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,30.08,1,0,0,0,1,0,0,0,1,0
Saltwater State Park,1.4,127,54,4.2,https://www.alltrails.com/trail/us/washington/saltwater-state-park,hike623,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71428571428572,41.22,1,0,0,1,0,0,0,1,0,0
Olympic National Park,19.4,4547,31,4.7,https://www.alltrails.com/trail/us/washington/upper-dungeness-trail,hike624,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.3814432989691,52.14,0,1,0,0,1,0,1,0,0,0
Dosewallips State Park,2.3,301,28,3.9,https://www.alltrails.com/trail/us/washington/dosewallips-state-park-trail,hike625,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,130.8695652173913,33.97,1,0,0,1,0,0,0,1,0,0
The Brothers Wilderness,40.5,11994,31,4.2,https://www.alltrails.com/trail/us/washington/duckabush-river-to-lacrosse-pass-trail,hike626,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.14814814814815,40.52,0,0,1,0,1,0,0,0,0,1
Mount Rainier National Park,8.1,1430,31,4.5,https://www.alltrails.com/trail/us/washington/grand-park-trail-past-lake-eleanor,hike627,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.54320987654322,47.49,0,0,1,0,1,0,0,0,1,0
Olympic National Park,11.8,4455,17,4.6,https://www.alltrails.com/trail/us/washington/deer-park-road,hike628,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.5423728813559,45.63,0,0,1,0,0,1,0,0,1,0
Wright Park,5.9,39,41,4.1,https://www.alltrails.com/trail/us/washington/commencement-bay-trail,hike629,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.610169491525423,37.98,1,0,0,0,1,0,0,0,1,0
Cowiche Canyon Conservancy,5.2,285,65,4.2,https://www.alltrails.com/trail/us/washington/cowiche-canyon-trail,hike630,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,54.80769230769231,41.49,1,0,0,0,1,0,0,0,1,0
,14.5,367,43,4.6,https://www.alltrails.com/trail/us/washington/north-head-discovery-trail,hike631,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.310344827586206,52.8,0,0,1,0,1,0,0,0,1,0
Mount Si Natural Resources Conservation Area,5.5,1627,46,4.1,https://www.alltrails.com/trail/us/washington/teneriffe-falls-loop-via-the-mount-teneriffe-trail?p=22955934,hike632,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,295.8181818181818,37.88,0,0,1,1,0,0,0,0,1,0
Capitol State Forest,1.8,354,47,4.5,https://www.alltrails.com/trail/us/washington/porter-creek-falls,hike633,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.66666666666666,50.53,1,0,0,0,1,0,0,1,0,0
Coal Creek Park,3.6,400,37,4.4,https://www.alltrails.com/trail/us/washington/coal-creek-and-primrose-trail-loop-from-lakemont-blvd,hike634,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.11111111111111,46.05,0,0,1,1,0,0,0,0,1,0
Okanogan-Wenatchee National Forest,3.0,1122,29,4.4,https://www.alltrails.com/trail/us/washington/lanham-lake-trail,hike635,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.0,44.86,0,0,1,0,1,0,0,1,0,0
Wallace Falls State Park ,8.6,1866,35,4.2,https://www.alltrails.com/trail/us/washington/wallace-falls-lake-loop,hike636,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.97674418604652,40.66,0,0,1,1,0,0,0,0,1,0
Olympic National Park,0.7,9,26,4.2,https://www.alltrails.com/trail/us/washington/moments-in-time-trail,hike637,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.857142857142858,40.33,1,0,0,1,0,0,0,0,1,0
Okanogan-Wenatchee National Forest,23.1,7614,5,4.6,https://www.alltrails.com/trail/us/washington/little-annapurna,hike638,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.6103896103896,41.23,0,1,0,0,1,0,0,0,0,1
Southwest County Olympic View Park ,0.9,68,63,3.7,https://www.alltrails.com/trail/us/washington/southwest-park-trail,hike639,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.55555555555556,22.19,1,0,0,1,0,0,0,0,1,0
North Columbia Basin State Wildlife Recreation Area,3.3,423,34,4.3,https://www.alltrails.com/trail/us/washington/dusty-lake-trail,hike640,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,128.1818181818182,43.12,0,0,1,1,0,0,0,0,1,0
Mount Baker Snoqualmie National Forest,10.2,2785,35,4.3,https://www.alltrails.com/trail/us/washington/bertha-may-and-granite-lakes-trail,hike641,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.03921568627453,43.21,0,0,1,0,1,0,0,1,0,0
Okanogan-Wenatchee National Forest,6.7,2303,21,4.5,https://www.alltrails.com/trail/us/washington/thorp-mountain-trail,hike642,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,343.7313432835821,45.22,0,1,0,0,1,0,0,0,1,0
Okanogan-Wenatchee National Forest,4.6,1748,21,4.3,https://www.alltrails.com/trail/us/washington/mount-margaret-trail,hike643,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,380.00000000000006,41.83,0,0,1,0,1,0,0,0,1,0
Washington Park Arboretum,3.3,101,38,4.1,https://www.alltrails.com/trail/us/washington/foster-island-trail,hike644,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.60606060606061,38.04,1,0,0,0,1,0,1,0,0,0
Okanogan-Wenatchee National Forest,122.3,27319,10,4.5,https://www.alltrails.com/trail/us/washington/pct-wa-section-k-stevens-pass-to-rainy-pass,hike645,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,223.37694194603435,42.29,0,1,0,0,0,1,0,0,1,0
Gifford Pinchot National Forest,138.2,26026,13,4.2,https://www.alltrails.com/trail/us/washington/pct-wa-section-h-cascade-locks-to-highway-12-white-pass,hike646,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.32127351664255,39.79,0,1,0,0,0,1,0,0,1,0
Mount Rainier National Park,6.3,1368,37,3.6,https://www.alltrails.com/trail/us/washington/paul-peak-trail,hike647,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.14285714285714,24.75,0,0,1,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,12.7,2755,18,4.3,https://www.alltrails.com/trail/us/washington/glacier-basin-via-monte-cristo-trail,hike648,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,216.92913385826773,41.5,0,1,0,0,1,0,1,0,0,0
Rotary Park,3.0,36,62,4.0,https://www.alltrails.com/trail/us/washington/lowell-riverfront-trail--2,hike649,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,33.8,1,0,0,0,1,0,1,0,0,0
Gifford Pinchot National Forest,3.2,334,12,4.4,https://www.alltrails.com/trail/us/washington/takhlakh-lake-and-meadows-trail,hike650,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104.375,41.82,1,0,0,1,0,0,0,1,0,0
Cougar Mountain Regional Wildland Park,2.6,977,20,4.4,https://www.alltrails.com/trail/us/washington/wilderness-creek-trail,hike651,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.7692307692308,43.35,0,0,1,0,1,0,0,0,1,0
Mount Baker National Forest,38.4,10498,16,4.3,https://www.alltrails.com/trail/us/washington/devils-dome-ross-lake-east-bank-loop-trail,hike652,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,273.3854166666667,41.27,0,1,0,1,0,0,0,0,1,0
Squak Mountain State Park,6.0,1571,29,4.2,https://www.alltrails.com/trail/us/washington/debbies-view-via-may-valley-loop-and-west-peak-trail,hike653,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.8333333333333,40.45,0,0,1,1,0,0,0,1,0,0
Mount Baker Snoqualmie National Forest,2.4,2017,24,4.8,https://www.alltrails.com/trail/us/washington/guye-peak-trail,hike654,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,840.4166666666667,51.62,0,1,0,0,1,0,0,1,0,0
Riverside State Park,6.8,1049,46,4.3,https://www.alltrails.com/trail/us/washington/indian-painted-rock-and-knothead-valley-loop,hike655,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.26470588235296,44.12,0,0,1,1,0,0,0,0,1,0
Olympic National Park,34.0,6026,11,4.8,https://www.alltrails.com/trail/us/washington/hoh-river-trail-to-blue-glacier-trail,hike656,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.23529411764707,45.46,0,1,0,0,1,0,0,0,1,0
,2.6,610,43,4.8,https://www.alltrails.com/trail/us/washington/guemes-mountain,hike657,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.6153846153846,58.74,1,0,0,0,1,0,0,0,0,1
Gifford Pinchot National Forest,12.4,2641,11,5.0,https://www.alltrails.com/trail/us/washington/cispus-pass-loop-trail,hike658,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.98387096774192,47.38,0,0,1,1,0,0,0,0,1,0
Cranberry Lake Park,2.5,282,42,4.4,https://www.alltrails.com/trail/us/washington/little-cranberry-lake-outer-loop,hike659,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.8,46.72,1,0,0,1,0,0,0,0,1,0
Okanogan-Wenatchee National Forest,3.2,613,32,4.3,https://www.alltrails.com/trail/us/washington/cedar-falls-trail,hike660,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.5625,42.94,1,0,0,0,1,0,0,0,1,0
Olympic National Park,15.3,2004,17,4.6,https://www.alltrails.com/trail/us/washington/third-beach-to-hoh-river,hike661,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.98039215686273,45.63,0,0,1,0,0,1,0,0,1,0
Gifford Pinchot National Forest,1.1,406,33,4.2,https://www.alltrails.com/trail/us/washington/cora-lake-trail,hike662,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,369.09090909090907,40.59,1,0,0,0,1,0,0,1,0,0
,11.1,1456,43,3.5,https://www.alltrails.com/trail/us/washington/tolt-pipeline-trail,hike663,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.17117117117118,20.11,1,0,0,0,0,1,0,0,1,0
Mount Baker Wilderness,4.8,1227,21,4.5,https://www.alltrails.com/trail/us/washington/blue-lake-and-dock-butte-trail,hike664,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.625,45.22,0,0,1,0,1,0,0,0,1,0
Mount Baker Wilderness,11.8,7260,12,4.8,https://www.alltrails.com/trail/us/washington/mount-baker-standard-summit-route,hike665,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,615.2542372881355,45.98,0,1,0,0,1,0,0,0,1,0
Gifford Pinchot National Forest,1.2,265,17,4.5,https://www.alltrails.com/trail/us/washington/lava-canyon-suspension-bridge,hike666,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.83333333333334,44.21,1,0,0,0,1,0,0,0,1,0
Olympic National Forest,0.5,52,27,4.3,https://www.alltrails.com/trail/us/washington/ancient-groves-nature-trail,hike667,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.0,42.46,1,0,0,1,0,0,0,0,1,0
